form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2021-01-27,0000320193-21-000009,aapl-20210127.htm,486776,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000009/0000320193-21-000009-index.htm
8-K,2021-01-05,0001193125-21-001982,d29637d8k.htm,290029,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312521001982/0001193125-21-001982-index.htm
10-K,2020-10-30,0000320193-20-000096,aapl-20200926.htm,12502600,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm
8-K,2020-10-29,0000320193-20-000094,aapl-20201029.htm,516927,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000094/0000320193-20-000094-index.htm
8-K,2020-08-20,0001193125-20-225672,d937363d8k.htm,776989,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312520225672/0001193125-20-225672-index.htm
8-K,2020-08-07,0001193125-20-213158,d49399d8k.htm,303685,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312520213158/0001193125-20-213158-index.htm
10-Q,2020-07-31,0000320193-20-000062,aapl-20200627.htm,11076413,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/0000320193-20-000062-index.htm
8-K,2020-07-30,0000320193-20-000060,aapl-20200730.htm,628978,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/0000320193-20-000060-index.htm
8-K,2020-05-11,0001193125-20-139112,d926511d8k.htm,771520,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312520139112/0001193125-20-139112-index.htm
10-Q,2020-05-01,0000320193-20-000052,a10-qq220203282020.htm,10648806,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/0000320193-20-000052-index.htm
8-K,2020-04-30,0000320193-20-000050,a8-kq220203282020.htm,593101,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000050/0000320193-20-000050-index.htm
8-K,2020-02-27,0001193125-20-050884,d865740d8k.htm,329670,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312520050884/0001193125-20-050884-index.htm
8-K,2020-02-18,0001193125-20-039203,d845033d8k.htm,310140,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312520039203/0001193125-20-039203-index.htm
10-Q,2020-01-29,0000320193-20-000010,a10-qq1202012282019.htm,9292589,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/0000320193-20-000010-index.htm
8-K,2020-01-28,0000320193-20-000008,a8-kq1202012282019.htm,531866,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000008/0000320193-20-000008-index.htm
8-K,2019-11-15,0001193125-19-292676,d828969d8k.htm,645929,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312519292676/0001193125-19-292676-index.htm
10-K,2019-10-31,0000320193-19-000119,a10-k20199282019.htm,12861616,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm
8-K,2019-10-30,0000320193-19-000117,a8-kq420199282019.htm,576416,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000117/0000320193-19-000117-index.htm
8-K,2019-09-13,0000320193-19-000093,a8-kseptember201991019.htm,295855,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000093/0000320193-19-000093-index.htm
8-K,2019-09-11,0001193125-19-242975,d777124d8k.htm,777725,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312519242975/0001193125-19-242975-index.htm
10-Q,2019-07-31,0000320193-19-000076,a10-qq320196292019.htm,10526242,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/0000320193-19-000076-index.htm
8-K,2019-07-30,0000320193-19-000073,a8-kq320196292019.htm,303265,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000073/0000320193-19-000073-index.htm
10-Q,2019-05-01,0000320193-19-000066,a10-qq220193302019.htm,10459511,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/0000320193-19-000066-index.htm
8-K,2019-04-30,0000320193-19-000063,a8-kq220193302019.htm,289828,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000063/0000320193-19-000063-index.htm
8-K,2019-03-04,0000320193-19-000032,copyofreference8-kform8xkq.htm,66912,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000032/0000320193-19-000032-index.htm
8-K,2019-02-06,0000320193-19-000026,a8-kfebruary2019252019.htm,29021,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000026/0000320193-19-000026-index.htm
10-Q,2019-01-30,0000320193-19-000010,a10-qq1201912292018.htm,8176346,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/0000320193-19-000010-index.htm
8-K,2019-01-29,0000320193-19-000007,a8-kq1201912292018.htm,228420,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000007/0000320193-19-000007-index.htm
8-K,2019-01-02,0000320193-19-000002,a8-kjanuary2019122019.htm,66912,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000002/0000320193-19-000002-index.htm
10-K,2018-11-05,0000320193-18-000145,a10-k20189292018.htm,12275572,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm
8-K,2018-11-01,0000320193-18-000142,a8-kq420189292018.htm,406936,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000142/0000320193-18-000142-index.htm
10-Q,2018-08-01,0000320193-18-000100,a10-qq320186302018.htm,9373238,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/0000320193-18-000100-index.htm
8-K,2018-07-31,0000320193-18-000098,a8-kq320186302018.htm,401168,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000098/0000320193-18-000098-index.htm
8-K,2018-05-07,0001193125-18-154515,d563832d8k.htm,113486,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312518154515/0001193125-18-154515-index.htm
10-Q,2018-05-02,0000320193-18-000070,a10-qq220183312018.htm,9743668,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/0000320193-18-000070-index.htm
8-K,2018-05-01,0000320193-18-000067,a8-kq220183312018.htm,401862,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000067/0000320193-18-000067-index.htm
8-K,2018-02-14,0001193125-18-045761,d374908d8k.htm,115640,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312518045761/0001193125-18-045761-index.htm
10-Q,2018-02-02,0000320193-18-000007,a10-qq1201812302017.htm,8606471,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/0000320193-18-000007-index.htm
8-K,2018-02-01,0000320193-18-000005,a8-kq1201812302017.htm,363574,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019318000005/0000320193-18-000005-index.htm
8-K,2017-11-13,0001193125-17-341015,d478060d8k.htm,521659,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517341015/0001193125-17-341015-index.htm
10-K,2017-11-03,0000320193-17-000070,a10-k20179302017.htm,14071062,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm
8-K,2017-11-02,0000320193-17-000067,a8-kq420179302017.htm,408009,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019317000067/0000320193-17-000067-index.htm
8-K,2017-10-12,0001193125-17-308859,d386231d8k.htm,15342,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517308859/0001193125-17-308859-index.htm
8-K,2017-09-12,0001193125-17-282809,d434478d8k.htm,394801,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517282809/0001193125-17-282809-index.htm
8-K,2017-08-18,0001193125-17-262261,d593893d8k.htm,317550,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517262261/0001193125-17-262261-index.htm
10-Q,2017-08-02,0000320193-17-000009,a10-qq32017712017.htm,10155269,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/0000320193-17-000009-index.htm
8-K,2017-08-01,0000320193-17-000006,a8-kq32017712017.htm,406208,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019317000006/0000320193-17-000006-index.htm
8-K,2017-06-20,0001193125-17-208226,d413980d8k.htm,217479,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517208226/0001193125-17-208226-index.htm
8-K,2017-05-24,0001193125-17-181867,d583637d8k.htm,309745,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517181867/0001193125-17-181867-index.htm
8-K,2017-05-11,0001193125-17-167400,d388721d8k.htm,514921,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517167400/0001193125-17-167400-index.htm
10-Q,2017-05-03,0001628280-17-004790,a10-qq22017412017.htm,9684229,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/0001628280-17-004790-index.htm
