form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2018-01-31,0001157523-18-000166,a51751387.htm,535638,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000115752318000166/0001157523-18-000166-index.htm
10-Q,2017-11-06,0001373715-17-000164,now-2017930x10q.htm,9651438,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000164/0001373715-17-000164-index.htm
8-K,2017-10-25,0001157523-17-002789,a51704779.htm,541856,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000115752317002789/0001157523-17-002789-index.htm
8-K,2017-09-05,0001373715-17-000147,nowform8-kgiancarlo.htm,31125,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000147/0001373715-17-000147-index.htm
10-Q,2017-08-08,0001373715-17-000125,now-2017630x10q.htm,12641059,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000125/0001373715-17-000125-index.htm
8-K,2017-07-26,0001157523-17-002102,a51596240.htm,354533,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000115752317002102/0001157523-17-002102-index.htm
8-K,2017-06-22,0001193125-17-210521,d392280d8k.htm,402593,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312517210521/0001193125-17-210521-index.htm
8-K,2017-06-16,0001373715-17-000112,a8-k2017annualmeetingresul.htm,50157,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000112/0001373715-17-000112-index.htm
8-K,2017-06-09,0001373715-17-000071,form_8-kschneideremploymen.htm,34572,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000071/0001373715-17-000071-index.htm
8-K,2017-05-30,0001193125-17-187594,d233437d8k.htm,961945,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312517187594/0001193125-17-187594-index.htm
8-K,2017-05-24,0001193125-17-180193,d574231d8k.htm,29556,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312517180193/0001193125-17-180193-index.htm
8-K,2017-05-22,0001193125-17-178045,d396249d8k.htm,29710,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312517178045/0001193125-17-178045-index.htm
10-Q,2017-05-05,0001373715-17-000050,now-2017331x10q.htm,7566526,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000050/0001373715-17-000050-index.htm
8-K,2017-04-26,0001157523-17-001198,a51547588.htm,342807,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000115752317001198/0001157523-17-001198-index.htm
8-K,2017-03-31,0001373715-17-000032,now-form8xkdonahoeboardapp.htm,27929,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000032/0001373715-17-000032-index.htm
10-K,2017-02-28,0001373715-17-000026,now-20161231x10k.htm,12445719,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/0001373715-17-000026-index.htm
8-K,2017-02-27,0001193125-17-057713,d325730d8k.htm,150106,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000119312517057713/0001193125-17-057713-index.htm
