ticker,signal,horizon,corr,pval,n,significant
ABNB,roll_5d,5,0.0351,0.1005,2191,False
ABNB,roll_5d,7,0.0326,0.1276,2190,False
ABNB,roll_5d,10,-0.0475,0.0261,2190,True
ABNB,roll_5d,21,-0.0119,0.5764,2189,False
ABNB,roll_7d,1,-0.0386,0.2348,948,False
ABNB,roll_7d,2,-0.0166,0.3887,2697,False
ABNB,roll_7d,3,-0.0154,0.4229,2696,False
ABNB,roll_7d,5,0.036,0.0617,2691,False
ABNB,roll_7d,7,0.0281,0.1446,2690,False
ABNB,roll_7d,10,-0.0394,0.0411,2690,True
ABNB,roll_7d,21,-0.0113,0.5582,2689,False
ABNB,roll_21d,1,-0.0181,0.4559,1703,False
ABNB,roll_21d,2,-0.0309,0.0547,3857,False
ABNB,roll_21d,3,-0.0366,0.0232,3856,True
ABNB,roll_21d,5,0.0318,0.0487,3851,True
ABNB,roll_21d,7,0.0327,0.0424,3848,True
ABNB,roll_21d,10,-0.0261,0.105,3846,False
ABNB,roll_21d,21,-0.0117,0.467,3839,False
ABNB,sent_momentum,1,-0.217,0.0075,151,True
ABNB,sent_momentum,2,-0.0252,0.5031,706,False
ABNB,sent_momentum,3,-0.029,0.441,706,False
ABNB,sent_momentum,5,0.0317,0.3997,706,False
ABNB,sent_momentum,7,0.026,0.4911,706,False
ABNB,sent_momentum,10,-0.0348,0.356,706,False
ABNB,sent_momentum,21,0.0251,0.5049,706,False
ABNB,volume_surge,1,0.043,0.0527,2033,False
ABNB,volume_surge,2,-0.0097,0.5286,4204,False
ABNB,volume_surge,3,-0.0075,0.6249,4203,False
ABNB,volume_surge,5,0.0055,0.72,4195,False
ABNB,volume_surge,7,0.0065,0.6756,4196,False
ABNB,volume_surge,10,0.0001,0.9958,4189,False
ABNB,volume_surge,21,0.0114,0.46,4175,False
ABTC,adaptive_sentiment,2,0.1563,0.1635,81,False
ABTC,adaptive_sentiment,3,0.4019,0.0002,81,True
ABTC,adaptive_sentiment,5,0.3737,0.0006,81,True
ABTC,adaptive_sentiment,7,0.2961,0.0073,81,True
ABTC,adaptive_sentiment,10,-0.1072,0.3407,81,False
ABTC,adaptive_sentiment,21,0.3786,0.0005,81,True
ABTC,roll_21d,2,0.1253,0.2393,90,False
ABTC,roll_21d,3,0.3635,0.0004,90,True
ABTC,roll_21d,5,0.347,0.0008,90,True
ABTC,roll_21d,7,0.2698,0.0101,90,True
ABTC,roll_21d,10,-0.0614,0.5652,90,False
ABTC,roll_21d,21,0.3162,0.0024,90,True
ABTC,volume_surge,1,-0.0076,0.6751,3051,False
ABTC,volume_surge,2,0.0015,0.9239,4204,False
ABTC,volume_surge,3,0.0022,0.8863,4203,False
ABTC,volume_surge,5,0.004,0.795,4195,False
ABTC,volume_surge,7,0.007,0.6515,4196,False
ABTC,volume_surge,10,-0.0012,0.9385,4189,False
ABTC,volume_surge,21,-0.0007,0.9618,4175,False
ABVC,volume_surge,1,-0.0001,0.997,4203,False
ABVC,volume_surge,2,-0.0,0.9999,4204,False
ABVC,volume_surge,3,-0.0,0.9996,4203,False
ABVC,volume_surge,5,-0.0,0.9999,4195,False
ABVC,volume_surge,7,-0.0,0.9993,4196,False
ABVC,volume_surge,10,0.0,0.9994,4189,False
ABVC,volume_surge,21,-0.0,0.9992,4175,False
ABVX,volume_surge,1,-0.0032,0.9211,989,False
ABVX,volume_surge,2,-0.0016,0.9155,4204,False
ABVX,volume_surge,3,-0.0048,0.7558,4203,False
ACAD,adaptive_sentiment,1,-0.0305,0.6141,275,False
ACAD,adaptive_sentiment,2,0.0456,0.451,275,False
ACAD,adaptive_sentiment,3,0.0355,0.5576,275,False
ACAD,adaptive_sentiment,5,0.0021,0.9724,275,False
ACAD,adaptive_sentiment,7,0.0582,0.3359,275,False
ACAD,adaptive_sentiment,10,0.0111,0.8543,275,False
ACAD,adaptive_sentiment,21,0.047,0.4373,275,False
ACAD,roll_5d,1,-0.0857,0.4559,78,False
ACAD,roll_5d,2,0.1191,0.299,78,False
ACAD,roll_5d,3,-0.0631,0.5828,78,False
ACAD,roll_5d,5,-0.167,0.1438,78,False
ACAD,roll_5d,7,0.1731,0.1297,78,False
ACAD,roll_5d,10,-0.0129,0.9109,78,False
ACAD,roll_5d,21,0.2798,0.0131,78,True
ACAD,roll_7d,1,-0.09,0.3545,108,False
ACAD,roll_7d,2,0.0525,0.5892,108,False
ACAD,roll_7d,3,-0.0722,0.4577,108,False
ACAD,roll_7d,5,-0.0861,0.3756,108,False
ACAD,roll_7d,7,0.1181,0.2234,108,False
ACAD,roll_7d,10,-0.0197,0.8394,108,False
ACAD,roll_7d,21,0.1981,0.0398,108,True
ACAD,roll_21d,1,-0.0233,0.686,303,False
ACAD,roll_21d,2,0.0684,0.235,303,False
ACAD,roll_21d,3,0.039,0.4991,303,False
ACAD,roll_21d,5,-0.0012,0.9829,303,False
ACAD,roll_21d,7,0.0557,0.3343,303,False
ACAD,roll_21d,10,-0.0025,0.9654,303,False
ACAD,roll_21d,21,0.0722,0.21,303,False
ACAD,volume_surge,1,-0.0103,0.5051,4203,False
ACAD,volume_surge,2,-0.0043,0.7821,4204,False
ACAD,volume_surge,3,-0.006,0.6978,4203,False
ACAD,volume_surge,5,-0.0023,0.8836,4195,False
ACAD,volume_surge,7,-0.003,0.8468,4196,False
ACAD,volume_surge,10,-0.0191,0.216,4189,False
ACAD,volume_surge,21,0.0023,0.8805,4175,False
ACB,norm_sentiment,1,0.0893,0.2787,149,False
ACB,norm_sentiment,2,-0.0216,0.7935,149,False
ACB,norm_sentiment,3,-0.0919,0.2652,149,False
ACB,norm_sentiment,5,-0.054,0.5131,149,False
ACB,norm_sentiment,7,-0.0436,0.5976,149,False
ACB,norm_sentiment,10,-0.1686,0.0398,149,True
ACB,norm_sentiment,21,0.0477,0.5634,149,False
ACB,adaptive_sentiment,1,0.0423,0.1706,1049,False
ACB,adaptive_sentiment,2,-0.0013,0.9676,1049,False
ACB,adaptive_sentiment,3,-0.0543,0.0789,1049,False
ACB,adaptive_sentiment,5,-0.0146,0.6377,1049,False
ACB,adaptive_sentiment,7,-0.0167,0.5891,1049,False
ACB,adaptive_sentiment,10,-0.0617,0.0459,1049,True
ACB,adaptive_sentiment,21,0.0062,0.8413,1049,False
ACB,roll_3d,1,0.0695,0.2129,323,False
ACB,roll_3d,2,-0.0346,0.535,323,False
ACB,roll_3d,3,-0.0989,0.0761,323,False
ACB,roll_3d,5,-0.0361,0.5176,323,False
ACB,roll_3d,7,-0.0011,0.9837,323,False
ACB,roll_3d,10,0.0031,0.9563,323,False
ACB,roll_3d,21,0.0606,0.2774,323,False
ACB,roll_5d,1,0.0755,0.1113,446,False
ACB,roll_5d,2,-0.0256,0.5901,446,False
ACB,roll_5d,3,-0.0704,0.1378,446,False
ACB,roll_5d,5,-0.0022,0.9636,446,False
ACB,roll_5d,7,-0.0588,0.2154,446,False
ACB,roll_5d,10,-0.0298,0.5297,446,False
ACB,roll_5d,21,-0.0063,0.8953,446,False
ACB,roll_7d,1,0.0437,0.3042,555,False
ACB,roll_7d,2,-0.0316,0.4581,555,False
ACB,roll_7d,3,-0.068,0.1098,555,False
ACB,roll_7d,5,-0.011,0.7959,555,False
ACB,roll_7d,7,0.0138,0.7458,555,False
ACB,roll_7d,10,-0.0305,0.4736,555,False
ACB,roll_7d,21,0.0454,0.2855,555,False
ACB,roll_21d,1,0.004,0.8928,1138,False
ACB,roll_21d,2,-0.0272,0.3586,1138,False
ACB,roll_21d,3,-0.0389,0.1892,1138,False
ACB,roll_21d,5,-0.0297,0.3168,1138,False
ACB,roll_21d,7,0.0025,0.9334,1138,False
ACB,roll_21d,10,-0.0505,0.0887,1138,False
ACB,roll_21d,21,0.0123,0.678,1138,False
ACB,sent_momentum,1,0.1774,0.0601,113,False
ACB,sent_momentum,2,0.0957,0.3133,113,False
ACB,sent_momentum,3,0.0687,0.4694,113,False
ACB,sent_momentum,5,0.0081,0.9325,113,False
ACB,sent_momentum,7,-0.1332,0.1597,113,False
ACB,sent_momentum,10,-0.1521,0.1077,113,False
ACB,sent_momentum,21,-0.0063,0.9468,113,False
ACB,volume_surge,1,0.0418,0.0068,4203,True
ACB,volume_surge,2,-0.0106,0.49,4204,False
ACB,volume_surge,3,-0.0106,0.4938,4203,False
ACB,volume_surge,5,-0.003,0.8462,4195,False
ACB,volume_surge,7,-0.0246,0.1118,4196,False
ACB,volume_surge,10,0.0078,0.6147,4189,False
ACB,volume_surge,21,-0.0142,0.358,4175,False
ACET,adaptive_sentiment,1,-0.1422,0.2915,57,False
ACET,adaptive_sentiment,2,0.0752,0.5783,57,False
ACET,adaptive_sentiment,3,-0.01,0.9413,57,False
ACET,adaptive_sentiment,5,-0.1754,0.1918,57,False
ACET,adaptive_sentiment,7,0.0993,0.4625,57,False
ACET,adaptive_sentiment,10,0.0947,0.4837,57,False
ACET,adaptive_sentiment,21,0.0956,0.4793,57,False
ACET,roll_21d,1,-0.0831,0.5172,63,False
